Publication,Article Count,Percentage
"CBC",5818,23.37
"The Globe and Mail",1692,6.80
"Edmonton Journal",1249,5.02
"Calgary Herald",1127,4.53
"Global News",1053,4.23
"CTV News",772,3.10
"National Post",582,2.34
"Alberta Politics",512,2.06
"CityNews Edmonton",474,1.90
"CityNews Calgary",376,1.51
"Toronto Star",339,1.36
"St. Albert Gazette",329,1.32
"Daveberta",297,1.19
"Lethbridge News Now",288,1.16
"The Economic Times",287,1.15
"Yahoo News Canada",272,1.09
"Canada's National Observer",268,1.08
"MSN",227,0.91
"APTN News",200,0.80
"rdnewsnow.com",197,0.79
"The Hill Times",181,0.73
"Western Standard",180,0.72
"The Albertan",171,0.69
"Politico",168,0.67
"The Conversation",167,0.67
"Shootin' the Breeze",164,0.66
"PressProgress",163,0.65
"DiscoverAirdrie",156,0.63
"Macleans.ca",145,0.58
"Rabble.ca",140,0.56
"Rocky Mountain Outlook",139,0.56
"Sherwood Park News",132,0.53
"The Stettler Independent",116,0.47
"CHAT News Today",116,0.47
"TownAndCountryToday.com",114,0.46
"Todayville",111,0.45
"Red Deer Advocate",95,0.38
"Rebel News",91,0.37
"The New York Times",90,0.36
"The Narwhal",89,0.36
"Times of India",88,0.35
"The Tyee",87,0.35
"Bloomberg.com",87,0.35
"Newsweek",86,0.35
"DeSmog",85,0.34
"Policy Options",81,0.33
"Financial Post",77,0.31
"Canadian Dimension",77,0.31
"Radio-Canada",74,0.30
"LakelandToday.ca",72,0.29
"The Guardian",72,0.29
"EverythingGP",71,0.29
"Juno News",70,0.28
"Jacobin",69,0.28
"Time Magazine",68,0.27
"CochraneNow",65,0.26
"BBC",61,0.25
"The Progress Report",58,0.23
"ICT News",58,0.23
"The Hill",57,0.23
"CNN",55,0.22
"Ricochet Media",54,0.22
"iPolitics",54,0.22
"Reuters",53,0.21
"Medicine Hat News",53,0.21
"Alberta Native News",52,0.21
"CityNews Toronto",52,0.21
"Western Wheel",52,0.21
"The Hub | More Signal. Less Noise.",50,0.20
"Angus Reid Institute",50,0.20
"Fort McMurray Today",48,0.19
"Green Matters",48,0.19
"New York Post",48,0.19
"True North News",43,0.17
"thecanadianpressnews.ca",41,0.16
"OkotoksOnline",41,0.16
"LiveWire Calgary",39,0.16
"Government of Alberta",39,0.16
"Benefits and Pensions Monitor",38,0.15
"CentralAlbertaOnline.com",36,0.14
"CityNews Halifax",36,0.14
"Los Angeles Times",36,0.14
"Castanet",35,0.14
"StrathmoreNow",34,0.14
"The Alberta Worker",34,0.14
"HighRiverOnline",34,0.14
"The Sprawl",33,0.13
"The Gateway Online",33,0.13
"Ponoka News",32,0.13
"Northwest Progressive Institute",32,0.13
"Fraser Institute",31,0.12
"Vancouver Sun",31,0.12
"www.israelhayom.com",31,0.12
"Alberta Teachers' Association",30,0.12
"LacombeOnline.com",29,0.12
"The Western Producer",27,0.11
"World Socialist Web Site",27,0.11
"NOW Toronto",27,0.11
"The Maple",26,0.10
"Hindustan Times",26,0.10
"The Times of India",26,0.10
"Whitecourt Star",25,0.10
"The Washington Post",25,0.10
"The Energy Mix",25,0.10
"ReNew Canada",24,0.10
"WestCentralOnline",24,0.10
"The Walrus",24,0.10
"The Macdonald-Laurier Institute",24,0.10
"Lacombe Express",23,0.09
"GZERO Media",23,0.09
"www.readtheline.ca",23,0.09
"University of Alberta",22,0.09
"Energeticcity",22,0.09
"Edmonton Sun",22,0.09
"Canada.ca",22,0.09
"Claresholm Local Press",21,0.08
"Calgary Sun",21,0.08
"centralalbertaonline.com",20,0.08
"Prince George Citizen",20,0.08
"The Gauntlet",20,0.08
"Financial Times",20,0.08
"constructconnect.com",19,0.08
"The Lethbridge Herald",19,0.08
"Pipestone Flyer",19,0.08
"Indianz.Com",18,0.07
"The Logic",18,0.07
"Substack",18,0.07
"The Wall Street Journal",18,0.07
"Calgary Citizen",18,0.07
"Weekly Voice",17,0.07
"650 CKOM",17,0.07
"True North | Breaking Canadian News and Opinion",17,0.07
"The Breach",17,0.07
"PressReader",16,0.06
"daveberta.ca",16,0.06
"Winnipeg Sun",16,0.06
"canadian affairs",16,0.06
"Bloomberg",16,0.06
"Indo-Canadian Voice",15,0.06
"Business in Vancouver",15,0.06
"The Community Press",15,0.06
"Regina Leader Post",15,0.06
"Meridian Source",15,0.06
"Wetaskiwin Times",14,0.06
"Montreal Gazette",14,0.06
"Windspeaker.com",14,0.06
"Yukon News",14,0.06
"BNN Bloomberg",14,0.06
"Penticton Herald",14,0.06
"620 CKRM",13,0.05
"Department of Foreign Affairs",13,0.05
"The Indian Express",13,0.05
